date,open,high,low,close,volume
2023-10-12,705.0,707.7,698.55,700.25,1230285
2023-10-13,698.25,706.5,693.2,704.15,1018087
2023-10-16,705.0,709.05,701.25,703.35,799567
2023-10-17,703.8,719.4,703.05,714.6,2163042
2023-10-18,718.35,718.5,699.1,703.85,1690083
2023-10-19,701.4,704.75,690.3,699.65,1100204
2023-10-20,700.0,703.5,690.0,692.1,1232956
2023-10-23,692.65,692.65,663.0,666.2,1717013
2023-10-25,667.25,673.0,651.1,658.05,1305923
2023-10-26,656.4,656.4,635.55,645.05,1821947
2023-10-27,649.9,661.6,648.4,659.35,1056784
2023-10-30,661.7,665.8,652.5,663.3,988891
2023-10-31,664.75,668.9,662.95,665.35,603228
2023-11-01,666.05,670.0,652.0,652.85,840037
2023-11-02,657.95,663.55,649.7,655.3,1442254
2023-11-03,660.0,666.1,658.05,663.6,763012
2023-11-06,670.5,674.15,666.4,671.5,734713
2023-11-07,673.95,683.3,670.0,681.1,1366389
2023-11-08,690.0,690.0,671.55,676.9,2294522
2023-11-09,679.0,679.9,664.4,670.55,1785791
2023-11-10,669.9,676.1,665.8,672.45,711757
2023-11-12,678.0,678.85,676.0,677.15,300530
2023-11-13,677.0,677.0,669.05,671.0,517232
2023-11-15,677.7,678.95,674.0,677.35,736475
2023-11-16,677.0,683.9,675.7,679.65,1042850
2023-11-17,679.65,711.5,677.2,707.35,4894657
2023-11-20,709.9,712.0,694.75,701.3,1714181
2023-11-21,705.3,719.9,703.5,708.95,4324116
2023-11-22,709.0,711.8,693.05,700.0,1440191
2023-11-23,704.0,706.45,699.0,700.0,1285720
2023-11-24,703.0,704.4,691.6,692.8,896138
2023-11-28,697.2,699.2,692.8,696.8,877968
2023-11-29,696.8,709.5,696.8,700.5,1575534
2023-11-30,700.0,710.0,700.0,705.75,2128035
2023-12-01,710.0,710.0,700.0,701.3,1060638
2023-12-04,708.0,724.0,706.0,720.85,4528427
2023-12-05,724.75,728.95,709.05,715.1,2826160
2023-12-06,719.4,749.9,716.6,740.5,10164743
2023-12-07,742.75,762.25,732.0,757.8,7412553
2023-12-08,762.45,769.85,739.2,749.55,4842223
2023-12-11,750.95,766.55,750.0,762.1,3619579
2023-12-12,766.4,786.4,763.35,770.6,7248708
2023-12-13,774.4,781.55,763.8,777.95,2986173
2023-12-14,799.95,799.95,785.5,791.05,5071262
2023-12-15,797.0,797.0,778.65,780.85,2894186
2023-12-18,784.85,889.35,779.1,879.15,36365109
2023-12-19,881.2,916.5,852.2,882.1,37499776
2023-12-20,886.7,890.0,805.25,815.15,17968498
2023-12-21,807.0,874.5,801.9,868.25,25159581
2023-12-22,875.0,886.9,853.9,860.9,10046698
2023-12-26,865.0,883.9,859.0,869.8,6342848
2023-12-27,874.8,884.7,858.95,867.5,5028695
2023-12-28,873.95,875.0,862.05,864.15,3578585
2023-12-29,866.0,895.0,859.05,887.5,10705182
2024-01-01,892.0,916.85,888.0,891.85,9040913
2024-01-02,895.7,903.3,866.8,886.2,5242381
2024-01-03,886.3,910.0,886.2,899.25,6852189
2024-01-04,903.9,912.0,895.25,901.55,4427039
2024-01-05,905.0,923.45,894.05,905.9,9811302
2024-01-08,914.2,929.0,905.85,916.55,9604429
2024-01-09,925.0,926.7,912.0,918.8,4254653
2024-01-10,920.0,944.5,907.4,941.7,8474409
2024-01-11,949.0,951.8,938.0,940.3,6012001
2024-01-12,945.6,962.0,941.35,951.2,6044161
2024-01-15,961.0,976.45,951.05,967.4,6618736
2024-01-16,970.0,971.5,935.15,949.65,5464749
2024-01-17,944.9,950.5,932.0,934.7,3782327
2024-01-18,935.1,944.0,870.3,927.25,6557942
2024-01-19,935.0,988.8,934.05,983.8,14486659
2024-01-20,997.85,1049.0,994.0,1027.0,20724020
2024-01-23,1045.05,1046.9,926.65,935.35,15704924
2024-01-24,941.5,977.0,909.1,970.6,8909650
2024-01-25,975.55,989.95,959.0,970.3,6428039
2024-01-29,983.9,989.9,972.65,981.8,3870322
2024-01-30,986.35,986.65,961.15,964.05,2502690
2024-01-31,968.9,981.9,965.0,977.2,2254800
2024-02-01,988.5,993.5,958.05,963.3,5130192
2024-02-02,968.95,986.3,963.9,967.5,2803549
2024-02-05,971.9,972.8,941.15,946.65,3260389
2024-02-06,950.0,968.4,939.5,965.25,2521842
2024-02-07,969.0,972.6,948.3,954.75,1956892
2024-02-08,957.6,958.55,941.8,944.35,1638646
2024-02-09,949.1,954.4,916.0,939.15,2482688
2024-02-12,941.95,947.0,894.0,900.1,3029950
2024-02-13,900.1,914.7,877.0,910.45,3906213
2024-02-14,915.5,934.0,897.3,929.2,4480920
2024-02-15,938.45,968.0,935.2,951.5,4532823
2024-02-16,957.0,959.85,937.1,940.65,2036667
2024-02-19,942.0,956.75,939.55,946.95,2063916
2024-02-20,947.4,954.9,944.25,951.9,1723035
2024-02-21,952.65,959.55,922.1,925.75,2291737
2024-02-22,928.1,939.25,917.1,935.65,1724197
2024-02-23,947.3,971.0,944.15,964.85,7709557
2024-02-26,966.95,989.9,964.0,968.4,7397592
2024-02-27,968.9,974.0,948.15,952.75,2829201
2024-02-28,953.0,959.65,920.0,924.05,2972449
2024-02-29,923.0,933.95,912.4,927.4,3232361
2024-03-01,934.0,938.05,927.0,929.3,1305118
2024-03-02,933.8,938.7,931.0,933.7,178102
2024-03-04,934.8,945.85,923.95,938.0,2010812
2024-03-05,938.0,941.25,928.65,935.8,1167131
2024-03-06,936.0,937.0,911.55,929.05,1888149
2024-03-07,931.6,946.45,930.15,937.2,1565514
2024-03-11,937.2,961.0,931.05,938.6,3587812
2024-03-12,939.0,941.4,915.5,920.95,1570749
2024-03-13,925.15,931.5,869.0,880.65,4244094
2024-03-14,875.05,905.35,862.75,898.75,2731461
2024-03-15,899.0,916.15,877.05,912.5,3393550
2024-03-18,912.5,922.95,904.0,918.9,1605008
2024-03-19,918.9,918.9,900.0,906.4,1737458
2024-03-20,906.0,916.5,882.8,901.9,1978201
2024-03-21,913.0,943.9,910.2,934.75,3688075
2024-03-22,938.9,940.9,926.5,928.7,1554947
2024-03-26,928.7,936.75,920.15,928.75,1707716
2024-03-27,930.95,940.2,926.4,929.95,1511283
2024-03-28,933.4,939.4,925.0,929.7,1729773
